filing_id,ticker,filing_date,term,category,section,frequency
1,AAPL,2021-10-29,fairness,governance,full_document,1
1,AAPL,2021-10-29,privacy,governance,full_document,6
2,AAPL,2022-10-28,fairness,governance,full_document,1
2,AAPL,2022-10-28,privacy,governance,full_document,6
3,AAPL,2023-11-03,artificial intelligence,usage,full_document,1
3,AAPL,2023-11-03,machine learning,usage,full_document,1
3,AAPL,2023-11-03,llm,usage,full_document,2
3,AAPL,2023-11-03,fairness,governance,full_document,1
3,AAPL,2023-11-03,privacy,governance,full_document,6
4,AAPL,2024-11-01,artificial intelligence,usage,full_document,3
4,AAPL,2024-11-01,machine learning,usage,full_document,2
4,AAPL,2024-11-01,llm,usage,full_document,1
4,AAPL,2024-11-01,fairness,governance,full_document,1
4,AAPL,2024-11-01,privacy,governance,full_document,11
4,AAPL,2024-11-01,incident response,action,full_document,1
5,AAPL,2025-10-31,artificial intelligence,usage,full_document,6
5,AAPL,2025-10-31,machine learning,usage,full_document,4
5,AAPL,2025-10-31,fairness,governance,full_document,1
5,AAPL,2025-10-31,privacy,governance,full_document,8
5,AAPL,2025-10-31,incident response,action,full_document,4
6,AAPL,2024-05-03,llm,usage,full_document,1
6,AAPL,2024-05-03,privacy,governance,full_document,2
8,AAPL,2025-01-31,artificial intelligence,usage,full_document,2
8,AAPL,2025-01-31,machine learning,usage,full_document,2
8,AAPL,2025-01-31,nlp,usage,full_document,1
8,AAPL,2025-01-31,privacy,governance,full_document,3
11,AMZN,2021-02-03,artificial intelligence,usage,full_document,2
11,AMZN,2021-02-03,machine learning,usage,full_document,5
11,AMZN,2021-02-03,nlp,usage,full_document,1
11,AMZN,2021-02-03,privacy,governance,full_document,8
12,AMZN,2022-02-04,artificial intelligence,usage,full_document,3
12,AMZN,2022-02-04,machine learning,usage,full_document,5
12,AMZN,2022-02-04,nlp,usage,full_document,1
12,AMZN,2022-02-04,privacy,governance,full_document,10
13,AMZN,2023-02-03,artificial intelligence,usage,full_document,3
13,AMZN,2023-02-03,machine learning,usage,full_document,5
13,AMZN,2023-02-03,privacy,governance,full_document,8
