filing_id,ticker,form_type,filing_date,word_count,T_score,R_score,A_score,RAI_score
1,AAPL,10-K,2021-10-29,369040,0.0,0.0,0.0,0.0
2,AAPL,10-K,2022-10-28,363354,0.0,0.0,0.0,0.0
3,AAPL,10-K,2023-11-03,471447,0.008484516817372896,0.0,0.0,0.0025453550452118686
4,AAPL,10-K,2024-11-01,322782,0.018588397122516125,0.0,0.0030980661870860207,0.006505938992880644
5,AAPL,10-K,2025-10-31,457442,0.021860694907769727,0.0,0.008744277963107892,0.009181491861263285
6,AAPL,10-Q,2024-05-03,109834,0.009104648833694485,0.0,0.0,0.0027313946501083455
7,AAPL,10-Q,2024-08-02,224534,0.0,0.0,0.0,0.0
8,AAPL,10-Q,2025-01-31,195339,0.025596527063208065,0.0,0.0,0.007678958118962419
9,AAPL,10-Q,2025-05-02,221232,0.0,0.0,0.0,0.0
10,AAPL,10-Q,2025-08-01,101362,0.0,0.0,0.0,0.0
11,AMZN,10-K,2021-02-03,478890,0.016705297667522812,0.0,0.0,0.005011589300256843
12,AMZN,10-K,2022-02-04,574539,0.01566473294241122,0.0,0.0,0.004699419882723366
13,AMZN,10-K,2023-02-03,417679,0.019153464742062684,0.0,0.0,0.005746039422618805
14,AMZN,10-K,2024-02-02,519595,0.030793213945476766,0.0,0.0019245758715922979,0.009815336945120719
15,AMZN,10-K,2025-02-07,221962,0.09461078923419323,0.0,0.004505275677818725,0.029734819473603586
16,AMZN,10-Q,2024-08-02,354323,0.02822283622570367,0.0,0.0,0.0084668508677111
17,AMZN,10-Q,2024-11-01,426679,0.02343682252934876,0.0,0.0,0.007031046758804628
18,AMZN,10-Q,2025-05-02,336182,0.056517005669548044,0.0,0.0,0.016955101700864412
19,AMZN,10-Q,2025-08-01,355981,0.053373635109739005,0.0,0.0,0.0160120905329217
20,AMZN,10-Q,2025-10-31,405891,0.04681059693365953,0.0,0.0,0.014043179080097858
21,GOOGL,10-K,2021-02-03,458347,0.02181753125906791,0.0,0.004363506251813583,0.007854311253264447
22,GOOGL,10-K,2022-02-02,722912,0.008299765393298216,0.0,0.0027665884644327387,0.0033199061573192866
23,GOOGL,10-K,2023-02-03,712771,0.00701487574550592,0.0,0.005611900596404736,0.003788032902573197
24,GOOGL,10-K,2024-01-31,669082,0.01793502141740474,0.0,0.002989170236234124,0.00627725749609166
25,GOOGL,10-K,2025-02-05,790719,0.013911389507524165,0.0,0.0025293435468225754,0.004932219916304022
26,GOOGL,10-Q,2024-07-24,504411,0.0019825102941847025,0.0,0.0,0.0005947530882554107
27,GOOGL,10-Q,2024-10-30,507448,0.00985322634043291,0.0,0.0,0.0029559679021298733
28,GOOGL,10-Q,2025-04-25,480716,0.0020802303231013735,0.0,0.0,0.000624069096930412
29,GOOGL,10-Q,2025-07-24,555780,0.0017992730936701572,0.0,0.0,0.0005397819281010471
30,GOOGL,10-Q,2025-10-30,173492,0.005763954533926636,0.0,0.0,0.001729186360177991
31,IBM,10-K,2024-02-26,257795,0.05430671657712524,0.0,0.023274307104482243,0.023274307104482243
32,IBM,10-K,2025-02-25,420952,0.04751135521389612,0.0,0.014253406564168836,0.018529428533419486
33,IBM,10-K,2021-02-23,2479029,0.002823686209398922,0.0,0.0008067674883996919,0.0010891361093395841
34,IBM,10-K,2022-02-22,1936974,0.00516269191016503,0.0,0.001032538382033006,0.0018585690876594106
35,IBM,10-K,2023-02-28,2448611,0.0036755532013864186,0.0,0.000816789600308093,0.0013477028405083533
36,IBM,10-Q,2024-07-30,391018,0.023016843214378878,0.0,0.0,0.006905052964313663
37,IBM,10-Q,2024-10-30,166954,0.029948369011823614,0.0,0.0,0.008984510703547085
38,IBM,10-Q,2025-04-24,344232,0.017430105277835877,0.0,0.0,0.005229031583350763
